# Datos de trayectoria
#
#  tiempo , velocidad , error velocidad , aceleracion
0.000000000000000000e+00,1.490837831787444889e+00,2.778988422540417114e-01,1.490837831787444889e+00
2.071036553795174484e+01,5.520673232195780145e+01,1.743462121778538154e-01,1.625414884985131536e+00
4.142073107590348968e+01,1.093351066876646769e+02,1.586915024865563906e-01,1.351293850645653771e+00
6.213109661385524163e+01,1.456974175099817330e+02,1.727037889438612361e-01,7.753017980600711567e-01
8.284146215180697936e+01,1.620603843035981697e+02,1.450515660269059148e-01,1.910305665224660276e-01
1.035518276897587384e+02,1.630704786086546960e+02,1.517261340087170951e-01,-1.156524575701078960e-03
1.242621932277104833e+02,1.633936004735247707e+02,1.931129675493378217e-01,5.427902635345356608e-02
1.449725587656622281e+02,1.694694982077008660e+02,1.661703028782942904e-01,2.924604338148060756e-01
1.656829243036139871e+02,1.810313226224500909e+02,2.398551062396035993e-01,3.321048428182256096e-01
1.863932898415657178e+02,1.903124131053778285e+02,1.638797269204608775e-01,-3.786575462957583738e-02
2.071036553795174484e+02,1.701354393905974689e+02,1.863940922004995726e-01,-9.379771224211179703e-01
2.278140209174692075e+02,1.356438948014119035e+02,1.931246200850474382e-01,-9.994538589723312993e-01
2.485243864554209665e+02,1.038438236976351021e+02,1.840759666938134309e-01,-6.270703804412930404e-01
2.692347519933727540e+02,9.579106859084916437e+01,1.534974326081827711e-01,-2.712181823568993178e-02
2.899451175313244562e+02,9.547620486835700149e+01,1.745292938151153106e-01,-1.479743454779781572e-02
3.106554830692762152e+02,9.527440432980989726e+01,1.673061319367722677e-01,6.026301965616740614e-03
3.313658486072279175e+02,9.534985546307621007e+01,1.689552469519851052e-01,8.319069119002910073e-03
3.520762141451797334e+02,9.958972367650379454e+01,1.853260721461538196e-01,2.449511077087297428e-01
3.727865796831314356e+02,1.103506089422130003e+02,1.738056624307534326e-01,3.174635012059456307e-01
3.934969452210831946e+02,1.212850518559321245e+02,1.547545662107615017e-01,2.888098919855729974e-01
4.142073107590348968e+02,1.271474340329932744e+02,1.836073698768113105e-01,5.350702925043170077e-02
4.349176762969866559e+02,1.268445479233903228e+02,2.005771136567525148e-01,-1.604940937964806011e-02
4.556280418349384149e+02,1.264902614389800419e+02,1.708150583041690151e-01,-9.496175913563290050e-03
4.763384073728901740e+02,1.263172505298749542e+02,1.660770861415071797e-01,3.083587202090707496e-03
4.970487729108419330e+02,1.265045464096173902e+02,1.596485081368287928e-01,5.740291386893588144e-03
5.177591384487936921e+02,1.256280564947483214e+02,1.689026311675320691e-01,-1.534589126193131592e-01
5.384695039867455080e+02,1.118254042783374729e+02,1.650888284154400643e-01,-6.321761580360075738e-01
5.591798695246970965e+02,8.167127093726773523e+01,1.842296903101820205e-01,-1.100177239016636666e+00
5.798902350626489124e+02,3.712627068455176982e+01,2.065711413048552381e-01,-1.353779561553940081e+00
6.000000000000000000e+02,-7.300841079790367338e+00,2.251047637505722288e-01,-1.304412745206225743e+00
